Band_Number,Study_Region,Geo,GPS,Tag_type,Carried_tag,init_mass,mean_wing,mean_tot_head,mean_tarsus,Otter_18,Resight_effort,Sex.f,Sex,yr_banded,f,h
129232026,Raspberry,1,1,1,1,87.3,170,68.4,56.2,1,1,Female,1,2022,28,30
129232058,Oceanview,1,1,1,1,82.7,162,68.1,50.7,1,2,Female,1,2022,28,30
129232032,Earthquake,1,1,1,1,82.9,167,67.4,60.7,1,1,Female,1,2022,28,30
129232053,EARTHQUAKE,1,1,1,1,89.4,156,68.2,57.2,1,2,Unknown,3,2023,29,30
129232052,CLITHEROE,1,1,1,1,96.7,165,64,57.8,1,2,Female,1,2023,29,30
129231963,CLITHEROE,1,1,1,1,92.65,164,63.4,57.5,1,2,Female,1,2023,29,30
129232033,CLITHEROE,1,1,1,1,80.7,163,65,56.4,1,2,Female,1,2023,29,30
142220943,AMMO FOREST,1,1,1,1,94.28,165,69.9,52.2,1,1,Female,1,2023,29,30
142220950,CLITHEROE,1,1,1,1,92.65,NA,NA,NA,1,2,Unknown,3,2023,29,30
129232158,CLITHEROE,1,1,1,1,99.3,154,67.7,52.2,1,2,Male,2,2023,29,30
142220947,COASTAL,1,1,1,1,95.5,155,68.4,52,1,2,Male,2,2023,29,30
142221009,CLITHEROE,1,1,1,1,86.6,156,66.4,63.7,1,2,Male,2,2024,30,30
